pattern,hier_cell,lut,ff,dsp,slr,bbox
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6s_14_4_0_U2024,172,27,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6s_14_4_0_U2030,171,27,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6s_14_4_0_U2036,172,27,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6s_14_4_0_U2042,171,27,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U1999,386,38,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2002,301,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2005,378,38,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2008,301,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2011,386,38,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2014,301,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2017,386,38,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2020,301,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2023,386,38,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2026,301,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2029,386,38,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2032,301,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2035,380,38,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2038,301,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2041,380,38,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7ns_15_4_0_U2044,301,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7s_15_4_0_U1926,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7s_15_4_0_U1935,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7s_15_4_0_U1944,20,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7s_15_4_0_U1953,20,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7s_15_4_0_U1962,20,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7s_15_4_0_U1971,20,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7s_15_4_0_U1980,20,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_7s_15_4_0_U1989,20,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1925,29,28,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1928,3,26,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1929,1,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1930,3,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1934,29,28,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1937,9,27,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1938,15,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1939,3,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1943,29,28,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1946,18,26,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1947,27,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1948,22,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1952,29,28,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1955,18,26,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1956,27,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1957,22,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1961,29,28,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1964,18,26,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1965,27,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1966,22,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1970,29,28,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1973,18,26,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1974,27,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_8ns_16_4_0_U1975,22,22,0,"",""
